match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
New Zealand Vs Sri Lanka,New Zealand,9,,4,1,1,0,400,not_out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,1,,0,5,0,0,0,out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,2,,4,3,1,0,133.33,out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,3,,0,3,0,0,0,out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,4,,4,8,0,0,50,out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,5,,34,22,3,2,154.54,out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,6,,3,8,0,0,37.5,out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,7,,35,32,4,1,109.37,out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,8,,4,6,1,0,66.66,out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,9,,0,3,0,0,0,out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,10,,8,21,0,0,38.09,not_out,T20I # 1850
New Zealand Vs Sri Lanka,Sri Lanka,11,,4,5,1,0,80,out,T20I # 1850
Bangladesh Vs Zimbabwe,Bangladesh,1,,71,55,7,1,129.09,out,T20I # 1851
Bangladesh Vs Zimbabwe,Bangladesh,2,,0,2,0,0,0,out,T20I # 1851
Bangladesh Vs Zimbabwe,Bangladesh,3,,14,12,3,0,116.66,out,T20I # 1851
Bangladesh Vs Zimbabwe,Bangladesh,4,,23,20,1,0,115,out,T20I # 1851
Bangladesh Vs Zimbabwe,Bangladesh,5,,29,19,1,1,152.63,out,T20I # 1851
Bangladesh Vs Zimbabwe,Bangladesh,6,,7,10,0,0,70,out,T20I # 1851
Bangladesh Vs Zimbabwe,Bangladesh,7,,1,1,0,0,100,out,T20I # 1851
Bangladesh Vs Zimbabwe,Bangladesh,8,,1,1,0,0,100,not_out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,1,,4,3,1,0,133.33,out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,2,,8,7,2,0,114.28,out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,3,,8,15,1,0,53.33,out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,4,,64,42,8,0,152.38,out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,5,,0,3,0,0,0,out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,6,,15,19,0,0,78.94,out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,7,,27,25,2,1,108,not_out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,8,,2,2,0,0,100,out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,9,,6,3,0,1,200,out,T20I # 1851
Bangladesh Vs Zimbabwe,Zimbabwe,10,,0,2,0,0,0,not_out,T20I # 1851
Netherlands Vs Pakistan,Netherlands,1,,6,11,1,0,54.54,out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,2,,8,13,0,0,61.53,out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,3,,6,16,1,0,37.5,not_out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,4,,1,2,0,0,50,out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,5,,27,27,2,0,100,out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,6,,15,20,1,0,75,out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,7,,5,6,0,0,83.33,out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,8,,5,8,0,0,62.5,out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,9,,6,9,0,0,66.66,not_out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,10,,0,1,0,0,0,out,T20I # 1852
Netherlands Vs Pakistan,Netherlands,11,,7,7,0,0,100,out,T20I # 1852
Netherlands Vs Pakistan,Pakistan,1,,49,39,5,0,125.64,out,T20I # 1852
Netherlands Vs Pakistan,Pakistan,2,,4,5,1,0,80,out,T20I # 1852
Netherlands Vs Pakistan,Pakistan,3,,20,16,3,0,125,out,T20I # 1852
Netherlands Vs Pakistan,Pakistan,4,,12,16,0,0,75,out,T20I # 1852
Netherlands Vs Pakistan,Pakistan,5,,6,5,0,0,120,not_out,T20I # 1852
Netherlands Vs Pakistan,Pakistan,6,,4,2,1,0,200,not_out,T20I # 1852
India Vs South Africa,India,1,,9,14,0,1,64.28,out,T20I # 1853
India Vs South Africa,India,2,,15,14,1,1,107.14,out,T20I # 1853
India Vs South Africa,India,3,,12,11,2,0,109.09,out,T20I # 1853
India Vs South Africa,India,4,,68,40,6,3,170,out,T20I # 1853
India Vs South Africa,India,5,,0,3,0,0,0,out,T20I # 1853
India Vs South Africa,India,6,,2,3,0,0,66.66,out,T20I # 1853
India Vs South Africa,India,7,,6,15,0,0,40,out,T20I # 1853
India Vs South Africa,India,8,,7,11,0,0,63.63,out,T20I # 1853
India Vs South Africa,India,9,,4,6,0,0,66.66,not_out,T20I # 1853
India Vs South Africa,India,10,,0,2,0,0,0,out,T20I # 1853
India Vs South Africa,India,11,,2,1,0,0,200,not_out,T20I # 1853
India Vs South Africa,South Africa,1,,1,3,0,0,33.33,out,T20I # 1853
India Vs South Africa,South Africa,2,,10,15,0,1,66.66,out,T20I # 1853
India Vs South Africa,South Africa,3,,0,2,0,0,0,out,T20I # 1853
India Vs South Africa,South Africa,4,,52,41,6,1,126.82,out,T20I # 1853
India Vs South Africa,South Africa,5,,59,46,4,3,128.26,not_out,T20I # 1853
India Vs South Africa,South Africa,6,,6,6,1,0,100,out,T20I # 1853
India Vs South Africa,South Africa,7,,2,5,0,0,40,not_out,T20I # 1853
Australia Vs Ireland,Australia,1,,3,7,0,0,42.85,out,T20I # 1855
Australia Vs Ireland,Australia,2,,63,44,5,3,143.18,out,T20I # 1855
Australia Vs Ireland,Australia,3,,28,22,2,2,127.27,out,T20I # 1855
Australia Vs Ireland,Australia,4,,13,9,0,1,144.44,out,T20I # 1855
Australia Vs Ireland,Australia,5,,35,25,3,1,140,out,T20I # 1855
Australia Vs Ireland,Australia,6,,15,10,2,0,150,not_out,T20I # 1855
Australia Vs Ireland,Australia,7,,7,3,1,0,233.33,not_out,T20I # 1855
Australia Vs Ireland,Ireland,1,,11,7,1,1,157.14,out,T20I # 1855
Australia Vs Ireland,Ireland,2,,6,7,0,1,85.71,out,T20I # 1855
Australia Vs Ireland,Ireland,3,,71,48,9,1,147.91,not_out,T20I # 1855
Australia Vs Ireland,Ireland,4,,6,4,1,0,150,out,T20I # 1855
Australia Vs Ireland,Ireland,5,,0,1,0,0,0,out,T20I # 1855
Australia Vs Ireland,Ireland,6,,0,4,0,0,0,out,T20I # 1855
Australia Vs Ireland,Ireland,7,,14,10,2,0,140,out,T20I # 1855
Australia Vs Ireland,Ireland,8,,11,11,1,0,100,out,T20I # 1855
Australia Vs Ireland,Ireland,9,,6,6,1,0,100,out,T20I # 1855
Australia Vs Ireland,Ireland,10,,3,7,0,0,42.85,out,T20I # 1855
Australia Vs Ireland,Ireland,11,,1,5,0,0,20,out,T20I # 1855
Afghanistan Vs Sri Lanka,Afghanistan,1,,28,24,2,2,116.66,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,2,,27,27,2,1,100,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,3,,22,18,1,1,122.22,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,4,,18,16,1,0,112.5,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,5,,12,14,0,0,85.71,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,6,,13,8,1,0,162.5,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,7,,9,8,1,0,112.5,out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,8,,3,4,0,0,75,not_out,T20I # 1856
Afghanistan Vs Sri Lanka,Afghanistan,9,,1,2,0,0,50,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,1,,10,10,2,0,100,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,2,,25,27,2,1,92.59,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,3,,66,42,6,2,157.14,not_out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,4,,19,18,1,0,105.55,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,5,,18,14,3,0,128.57,out,T20I # 1856
Afghanistan Vs Sri Lanka,Sri Lanka,6,,0,0,0,0,-,not_out,T20I # 1856
England Vs New Zealand,England,1,,73,47,7,2,155.31,out,T20I # 1858
England Vs New Zealand,England,2,,52,40,7,1,130,out,T20I # 1858
England Vs New Zealand,England,3,,5,6,0,0,83.33,out,T20I # 1858
England Vs New Zealand,England,4,,20,14,1,1,142.85,out,T20I # 1858
England Vs New Zealand,England,5,,7,3,0,1,233.33,out,T20I # 1858
England Vs New Zealand,England,6,,8,7,0,0,114.28,out,T20I # 1858
England Vs New Zealand,England,7,,6,3,0,1,200,not_out,T20I # 1858
England Vs New Zealand,England,8,,3,1,0,0,300,not_out,T20I # 1858
England Vs New Zealand,New Zealand,1,,16,11,0,1,145.45,out,T20I # 1858
England Vs New Zealand,New Zealand,2,,3,9,0,0,33.33,out,T20I # 1858
England Vs New Zealand,New Zealand,3,,40,40,3,0,100,out,T20I # 1858
England Vs New Zealand,New Zealand,4,,62,36,4,3,172.22,out,T20I # 1858
England Vs New Zealand,New Zealand,5,,6,3,1,0,200,out,T20I # 1858
England Vs New Zealand,New Zealand,6,,3,5,0,0,60,out,T20I # 1858
England Vs New Zealand,New Zealand,7,,16,10,0,1,160,not_out,T20I # 1858
England Vs New Zealand,New Zealand,8,,6,6,0,0,100,not_out,T20I # 1858
Zimbabwe Vs Netherlands,Zimbabwe,1,,1,5,0,0,20,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,2,,3,12,0,0,25,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,3,,5,16,1,0,31.25,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,4,,28,23,3,0,121.73,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,5,,40,24,3,3,166.66,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,6,,2,3,0,0,66.66,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,7,,2,7,0,0,28.57,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,8,,6,8,0,0,75,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,9,,9,7,0,1,128.57,out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,10,,6,7,0,0,85.71,not_out,T20I # 1859
Zimbabwe Vs Netherlands,Zimbabwe,11,,1,4,0,0,25,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,1,,8,7,0,1,114.28,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,2,,52,47,8,1,110.63,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,3,,32,29,2,1,110.34,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,4,,1,5,0,0,20,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,5,,12,12,2,0,100,not_out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,6,,5,6,1,0,83.33,out,T20I # 1859
Zimbabwe Vs Netherlands,Netherlands,7,,0,3,0,0,0,not_out,T20I # 1859
India Vs Bangladesh,India,1,,50,32,3,4,156.25,out,T20I # 1860
India Vs Bangladesh,India,2,,2,8,0,0,25,out,T20I # 1860
India Vs Bangladesh,India,3,,64,44,8,1,145.45,not_out,T20I # 1860
India Vs Bangladesh,India,4,,30,16,4,0,187.5,out,T20I # 1860
India Vs Bangladesh,India,5,,5,6,0,0,83.33,out,T20I # 1860
India Vs Bangladesh,India,6,,7,5,1,0,140,out,T20I # 1860
India Vs Bangladesh,India,7,,7,6,1,0,116.66,out,T20I # 1860
India Vs Bangladesh,India,8,,13,6,1,1,216.66,not_out,T20I # 1860
India Vs Bangladesh,Bangladesh,1,,21,25,1,1,84,out,T20I # 1860
India Vs Bangladesh,Bangladesh,2,,60,27,7,3,222.22,out,T20I # 1860
India Vs Bangladesh,Bangladesh,3,,13,12,2,0,108.33,out,T20I # 1860
India Vs Bangladesh,Bangladesh,4,,3,5,0,0,60,out,T20I # 1860
India Vs Bangladesh,Bangladesh,5,,1,3,0,0,33.33,out,T20I # 1860
India Vs Bangladesh,Bangladesh,6,,25,14,2,1,178.57,not_out,T20I # 1860
India Vs Bangladesh,Bangladesh,7,,6,3,0,1,200,out,T20I # 1860
India Vs Bangladesh,Bangladesh,8,,12,7,1,1,171.42,not_out,T20I # 1860
Pakistan Vs South Africa,Pakistan,1,,4,4,1,0,100,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,2,,6,15,0,0,40,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,3,,28,11,2,3,254.54,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,4,,2,6,0,0,33.33,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,5,,51,35,3,2,145.71,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,6,,28,22,4,1,127.27,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,7,,52,22,3,4,236.36,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,8,,0,1,0,0,0,out,T20I # 1861
Pakistan Vs South Africa,Pakistan,9,,5,3,0,0,166.66,not_out,T20I # 1861
Pakistan Vs South Africa,Pakistan,10,,3,2,0,0,150,out,T20I # 1861
Pakistan Vs South Africa,South Africa,1,,36,19,4,1,189.47,out,T20I # 1861
Pakistan Vs South Africa,South Africa,2,,0,5,0,0,0,out,T20I # 1861
Pakistan Vs South Africa,South Africa,3,,7,6,0,1,116.66,out,T20I # 1861
Pakistan Vs South Africa,South Africa,4,,20,14,4,0,142.85,out,T20I # 1861
Pakistan Vs South Africa,South Africa,5,,15,9,3,0,166.66,out,T20I # 1861
Pakistan Vs South Africa,South Africa,6,,18,18,0,1,100,out,T20I # 1861
Pakistan Vs South Africa,South Africa,7,,3,4,0,0,75,out,T20I # 1861
Pakistan Vs South Africa,South Africa,8,,1,2,0,0,50,out,T20I # 1861
Pakistan Vs South Africa,South Africa,9,,1,5,0,0,20,out,T20I # 1861
Pakistan Vs South Africa,South Africa,10,,4,1,1,0,400,not_out,T20I # 1861
Pakistan Vs South Africa,South Africa,11,,1,1,0,0,100,not_out,T20I # 1861
New Zealand Vs Ireland,New Zealand,1,,32,18,5,1,177.77,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,2,,28,33,2,0,84.84,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,3,,61,35,5,3,174.28,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,4,,17,9,2,1,188.88,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,5,,31,21,2,0,147.61,not_out,T20I # 1862
New Zealand Vs Ireland,New Zealand,6,,0,1,0,0,0,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,7,,0,1,0,0,0,out,T20I # 1862
New Zealand Vs Ireland,New Zealand,8,,1,2,0,0,50,not_out,T20I # 1862
New Zealand Vs Ireland,Ireland,1,,37,27,3,1,137.03,out,T20I # 1862
New Zealand Vs Ireland,Ireland,2,,30,25,0,3,120,out,T20I # 1862
New Zealand Vs Ireland,Ireland,3,,13,14,0,0,92.85,out,T20I # 1862
New Zealand Vs Ireland,Ireland,4,,2,7,0,0,28.57,out,T20I # 1862
New Zealand Vs Ireland,Ireland,5,,10,8,2,0,125,out,T20I # 1862
New Zealand Vs Ireland,Ireland,6,,23,15,3,0,153.33,out,T20I # 1862
New Zealand Vs Ireland,Ireland,7,,7,7,1,0,100,out,T20I # 1862
New Zealand Vs Ireland,Ireland,8,,5,3,1,0,166.66,out,T20I # 1862
New Zealand Vs Ireland,Ireland,9,,4,5,0,0,80,out,T20I # 1862
New Zealand Vs Ireland,Ireland,10,,6,5,0,0,120,not_out,T20I # 1862
New Zealand Vs Ireland,Ireland,11,,8,4,0,1,200,not_out,T20I # 1862
Australia Vs Afghanistan,Australia,1,,25,18,5,0,138.88,out,T20I # 1864
Australia Vs Afghanistan,Australia,2,,3,2,0,0,150,out,T20I # 1864
Australia Vs Afghanistan,Australia,3,,45,30,3,2,150,out,T20I # 1864
Australia Vs Afghanistan,Australia,4,,4,4,1,0,100,out,T20I # 1864
Australia Vs Afghanistan,Australia,5,,25,21,0,2,119.04,out,T20I # 1864
Australia Vs Afghanistan,Australia,6,,54,32,6,2,168.75,not_out,T20I # 1864
Australia Vs Afghanistan,Australia,7,,6,8,1,0,75,out,T20I # 1864
Australia Vs Afghanistan,Australia,8,,0,2,0,0,0,out,T20I # 1864
Australia Vs Afghanistan,Australia,9,,1,1,0,0,100,out,T20I # 1864
Australia Vs Afghanistan,Australia,10,,1,1,0,0,100,not_out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,1,,30,17,2,2,176.47,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,2,,2,7,0,0,28.57,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,3,,26,33,2,0,78.78,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,4,,39,23,3,2,169.56,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,5,,1,2,0,0,50,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,6,,0,2,0,0,0,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,7,,15,13,1,0,115.38,out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,8,,48,23,3,4,208.69,not_out,T20I # 1864
Australia Vs Afghanistan,Afghanistan,9,,0,0,0,0,-,not_out,T20I # 1864
Sri Lanka Vs England,Sri Lanka,1,,67,45,2,5,148.88,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,2,,18,14,1,1,128.57,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,3,,9,11,0,0,81.81,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,4,,8,9,0,0,88.88,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,5,,22,22,3,0,100,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,6,,3,8,0,0,37.5,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,7,,9,9,1,0,100,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,8,,0,2,0,0,0,out,T20I # 1867
Sri Lanka Vs England,Sri Lanka,9,,0,0,0,0,-,not_out,T20I # 1867
Sri Lanka Vs England,England,1,,28,23,2,1,121.73,out,T20I # 1867
Sri Lanka Vs England,England,2,,47,30,7,1,156.66,out,T20I # 1867
Sri Lanka Vs England,England,3,,42,36,2,0,116.66,not_out,T20I # 1867
Sri Lanka Vs England,England,4,,4,5,0,0,80,out,T20I # 1867
Sri Lanka Vs England,England,5,,4,6,0,0,66.66,out,T20I # 1867
Sri Lanka Vs England,England,6,,1,5,0,0,20,out,T20I # 1867
Sri Lanka Vs England,England,7,,6,11,0,0,54.54,out,T20I # 1867
Sri Lanka Vs England,England,8,,5,3,1,0,166.66,not_out,T20I # 1867
Netherlands Vs South Africa,Netherlands,1,,37,30,7,0,123.33,out,T20I # 1871
Netherlands Vs South Africa,Netherlands,2,,29,31,1,1,93.54,out,T20I # 1871
Netherlands Vs South Africa,Netherlands,3,,35,19,2,2,184.21,out,T20I # 1871
Netherlands Vs South Africa,Netherlands,4,,41,26,3,2,157.69,not_out,T20I # 1871
Netherlands Vs South Africa,Netherlands,5,,1,7,0,0,14.28,out,T20I # 1871
Netherlands Vs South Africa,Netherlands,6,,12,7,2,0,171.42,not_out,T20I # 1871
Netherlands Vs South Africa,South Africa,1,,13,13,1,1,100,out,T20I # 1871
Netherlands Vs South Africa,South Africa,2,,20,20,2,0,100,out,T20I # 1871
Netherlands Vs South Africa,South Africa,3,,25,19,2,0,131.57,out,T20I # 1871
Netherlands Vs South Africa,South Africa,4,,17,13,2,0,130.76,out,T20I # 1871
Netherlands Vs South Africa,South Africa,5,,17,17,1,0,100,out,T20I # 1871
Netherlands Vs South Africa,South Africa,6,,21,18,0,1,116.66,out,T20I # 1871
Netherlands Vs South Africa,South Africa,7,,0,2,0,0,0,out,T20I # 1871
Netherlands Vs South Africa,South Africa,8,,13,12,0,1,108.33,out,T20I # 1871
Netherlands Vs South Africa,South Africa,9,,9,8,0,0,112.5,not_out,T20I # 1871
Netherlands Vs South Africa,South Africa,10,,4,1,1,0,400,not_out,T20I # 1871
Bangladesh Vs Pakistan,Bangladesh,1,,54,48,7,0,112.5,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,2,,10,8,0,1,125,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,3,,20,17,1,1,117.64,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,4,,0,1,0,0,0,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,5,,24,20,3,0,120,not_out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,6,,5,11,0,0,45.45,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,7,,0,3,0,0,0,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,8,,1,5,0,0,20,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,9,,7,6,1,0,116.66,out,T20I # 1872
Bangladesh Vs Pakistan,Bangladesh,10,,0,1,0,0,0,not_out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,1,,32,32,2,1,100,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,2,,25,33,2,0,75.75,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,3,,4,11,0,0,36.36,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,4,,31,18,1,2,172.22,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,5,,24,14,2,0,171.42,not_out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,6,,1,3,0,0,33.33,out,T20I # 1872
Bangladesh Vs Pakistan,Pakistan,7,,0,0,0,0,-,not_out,T20I # 1872
India Vs Zimbabwe,India,1,,51,35,3,3,145.71,out,T20I # 1873
India Vs Zimbabwe,India,2,,15,13,2,0,115.38,out,T20I # 1873
India Vs Zimbabwe,India,3,,26,25,2,0,104,out,T20I # 1873
India Vs Zimbabwe,India,4,,61,25,6,4,244,not_out,T20I # 1873
India Vs Zimbabwe,India,5,,3,5,0,0,60,out,T20I # 1873
India Vs Zimbabwe,India,6,,18,18,2,0,100,out,T20I # 1873
India Vs Zimbabwe,India,7,,0,0,0,0,-,not_out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,1,,0,1,0,0,0,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,2,,13,15,2,0,86.66,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,3,,0,6,0,0,0,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,4,,11,18,0,1,61.11,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,5,,34,24,3,0,141.66,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,6,,5,4,1,0,125,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,7,,35,22,5,1,159.09,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,8,,1,7,0,0,14.28,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,9,,1,2,0,0,50,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,10,,4,4,1,0,100,out,T20I # 1873
India Vs Zimbabwe,Zimbabwe,11,,0,2,0,0,0,not_out,T20I # 1873
New Zealand Vs Pakistan,New Zealand,1,,4,3,1,0,133.33,out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,2,,21,20,3,0,105,out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,3,,46,42,1,1,109.52,out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,4,,6,8,1,0,75,out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,5,,53,35,3,1,151.42,not_out,T20I # 1877
New Zealand Vs Pakistan,New Zealand,6,,16,12,1,0,133.33,not_out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,1,,57,43,5,0,132.55,out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,2,,53,42,7,0,126.19,out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,3,,30,26,2,1,115.38,out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,4,,3,4,0,0,75,not_out,T20I # 1877
New Zealand Vs Pakistan,Pakistan,5,,0,0,0,0,-,not_out,T20I # 1877
India Vs England,India,1,,5,5,1,0,100,out,T20I # 1878
India Vs England,India,2,,27,28,4,0,96.42,out,T20I # 1878
India Vs England,India,3,,50,40,4,1,125,out,T20I # 1878
India Vs England,India,4,,14,10,1,1,140,out,T20I # 1878
India Vs England,India,5,,63,33,4,5,190.9,out,T20I # 1878
India Vs England,India,6,,6,4,1,0,150,out,T20I # 1878
India Vs England,India,7,,0,0,0,0,-,not_out,T20I # 1878
India Vs England,England,1,,80,49,9,3,163.26,not_out,T20I # 1878
India Vs England,England,2,,86,47,4,7,182.97,not_out,T20I # 1878
Pakistan Vs England,Pakistan,1,,15,14,0,1,107.14,out,T20I # 1879
Pakistan Vs England,Pakistan,2,,32,28,2,0,114.28,out,T20I # 1879
Pakistan Vs England,Pakistan,3,,8,12,1,0,66.66,out,T20I # 1879
Pakistan Vs England,Pakistan,4,,38,28,2,1,135.71,out,T20I # 1879
Pakistan Vs England,Pakistan,5,,0,6,0,0,0,out,T20I # 1879
Pakistan Vs England,Pakistan,6,,20,14,2,0,142.85,out,T20I # 1879
Pakistan Vs England,Pakistan,7,,5,7,0,0,71.42,out,T20I # 1879
Pakistan Vs England,Pakistan,8,,4,8,0,0,50,out,T20I # 1879
Pakistan Vs England,Pakistan,9,,5,3,1,0,166.66,not_out,T20I # 1879
Pakistan Vs England,Pakistan,10,,1,1,0,0,100,not_out,T20I # 1879
Pakistan Vs England,England,1,,26,17,3,1,152.94,out,T20I # 1879
Pakistan Vs England,England,2,,1,2,0,0,50,out,T20I # 1879
Pakistan Vs England,England,3,,10,9,2,0,111.11,out,T20I # 1879
Pakistan Vs England,England,4,,52,49,5,1,106.12,not_out,T20I # 1879
Pakistan Vs England,England,5,,20,23,1,0,86.95,out,T20I # 1879
Pakistan Vs England,England,6,,19,13,3,0,146.15,out,T20I # 1879
Pakistan Vs England,England,7,,1,1,0,0,100,not_out,T20I # 1879
