match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
New Zealand Vs Pakistan,New Zealand,,3.1,0,24,0,7.57,7,3,0,2,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,,4,0,37,0,9.25,7,4,1,1,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,,4,0,26,1,6.5,6,1,0,0,0,T20I # 1877
New Zealand Vs Pakistan,New Zealand,,4,0,26,0,6.5,4,1,0,0,0,T20I # 1877
India Vs England,England,,2,0,18,0,9,5,2,1,0,0,T20I # 1878
India Vs England,England,,3,0,24,1,8,5,1,1,2,0,T20I # 1878
India Vs England,England,,4,0,42,0,10.5,9,5,2,0,0,T20I # 1878
India Vs England,England,,4,0,20,1,5,8,1,0,0,0,T20I # 1878
India Vs England,England,,3,0,21,0,7,7,3,0,0,0,T20I # 1878
India Vs England,England,,4,0,43,3,10.75,8,3,3,1,0,T20I # 1878
India Vs England,India,,2,0,25,0,12.5,4,3,1,1,0,T20I # 1878
India Vs England,India,,2,0,15,0,7.5,4,2,0,1,0,T20I # 1878
India Vs England,India,,4,0,30,0,7.5,10,2,2,0,0,T20I # 1878
India Vs England,India,,3,0,39,0,13,7,4,3,0,0,T20I # 1878
India Vs England,India,,2,0,27,0,13.5,1,1,2,1,0,T20I # 1878
India Vs England,India,,3,0,34,0,11.33,5,1,2,0,0,T20I # 1878
Pakistan Vs England,England,,4,0,32,1,8,6,1,0,2,1,T20I # 1879
Pakistan Vs England,England,,3,0,26,0,8.66,7,2,1,2,0,T20I # 1879
Pakistan Vs England,England,,4,0,12,3,3,15,0,0,0,0,T20I # 1879
Pakistan Vs England,England,,4,1,22,2,5.5,10,1,0,1,0,T20I # 1879
Pakistan Vs England,England,,4,0,27,2,6.75,9,3,0,0,0,T20I # 1879
Pakistan Vs England,England,,1,0,16,0,16,1,1,1,1,0,T20I # 1879
Pakistan Vs England,Pakistan,,2.1,0,13,1,6,6,1,0,0,0,T20I # 1879
Pakistan Vs England,Pakistan,,4,0,30,0,7.5,15,3,1,1,0,T20I # 1879
Pakistan Vs England,Pakistan,,4,0,23,2,5.75,13,3,0,1,0,T20I # 1879
Pakistan Vs England,Pakistan,,4,0,20,1,5,10,1,0,0,0,T20I # 1879
Pakistan Vs England,Pakistan,,4,0,38,1,9.5,5,5,0,2,0,T20I # 1879
Pakistan Vs England,Pakistan,,0.5,0,13,0,15.6,0,1,1,0,0,T20I # 1879
